envSteps,gradientSteps,totalReward,worldModelLoss,reconstructionLoss,rewardPredictorLoss,klLoss,actorLoss,criticLoss,entropies,logprobs,advantages,criticValues
48000,4300,-81.75182481751783,11302.5044921875,11304.69140625,-2.5708091259002686,0.3842944145202636,-0.03797771781682968,-0.6017714142799377,8.101934432983398,11.889562606811523,0.003922879230231047,-23.825576782226562
49000,4400,-81.65137614678858,11301.4224609375,11303.8271484375,-2.857726812362671,0.4529509782791137,0.0214339978992939,-0.5271584987640381,8.720129013061523,12.840590476989746,-0.002847905270755291,-27.107378005981445
50000,4500,-79.38144329896879,11303.886328125,11306.5712890625,-3.0311672687530518,0.3458897113800048,-0.08270299434661865,0.7114897966384888,8.251675605773926,11.83047866821289,0.005490437150001526,-19.738637924194336
51000,4600,-79.7979797979795,11301.7251953125,11303.83203125,-2.571937322616577,0.4653098821640014,-0.026504211127758026,1.096712350845337,7.498334884643555,10.97041130065918,-0.0005445535061880946,-17.004465103149414
52000,4700,-79.99999999999967,11304.6763671875,11306.28515625,-2.2049713134765625,0.5961106061935424,-0.05141180753707886,0.7630701661109924,7.723220348358154,12.05119514465332,0.000962354417424649,-10.367144584655762
53000,4800,-78.57142857142833,11302.8970703125,11304.9970703125,-2.5135490894317627,0.4138872861862182,-0.025963228195905685,0.4230791926383972,7.877974510192871,11.924875259399414,0.0016341874143108726,-25.396635055541992
54000,4900,-76.35135135135124,11299.9126953125,11302.7529296875,-3.2350621223449707,0.39512434005737296,-0.017903625965118408,-0.14932246506214142,8.493247985839844,12.980255126953125,0.0009236704208888113,-23.477603912353516
55000,5000,-58.19935691318404,11303.858984375,11306.5029296875,-3.1024739742279053,0.45860483646392813,-0.0261402390897274,0.8631269335746765,8.16322135925293,12.332361221313477,0.00019114275346510112,-20.0655460357666
56000,5100,-59.501557632399575,11300.151953125,11303.447265625,-3.6639797687530518,0.3682825803756713,-0.04223845526576042,0.259815514087677,8.665416717529297,14.070476531982422,0.003244271967560053,-29.311647415161133
57000,5200,-75.86206896551715,11301.8951171875,11304.9931640625,-3.511678695678711,0.41403510570526114,-0.015043745748698711,0.5152137875556946,8.063780784606934,14.136774063110352,0.0014089549658820033,-24.629695892333984
